"ï..StartDate";"EndDate";"RecordedDate";"PA_Attentive";"PA_Interested";"PA_Alert";"PA_Excited";"PA_Enthusiastic";"PA_Inspired";"PA_Proud";"PA_Determined";"PA_Strong";"PA_Active";"CompareQ";"mPA";"mPApartner";"PA_Attentive_partner";"PA_Interested_partner";"PA_Alert_partner";"PA_Excited_partner";"PA_Enthusiastic_partner";"PA_Inspired_partner";"PA_Proud_partner";"PA_Determined_partner";"PA_Strong_partner";"PA_Active_partner";"StudentID"
"10/16/2018 5:53:50";"10/16/2018 5:56:40";"10/16/2018 5:56:41";5;5;5;5;5;5;5;5;5;5;4;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
"10/16/2018 22:25:20";"10/16/2018 22:30:12";"10/16/2018 22:30:13";2;4;2;2;2;2;4;4;1;2;4;2,5;3,2;4;3;2;3;4;3;5;2;4;2;2
"10/16/2018 22:25:44";"10/16/2018 22:30:12";"10/16/2018 22:30:13";4;4;4;3;3;4;4;3;4;3;3;3,6;3,7;4;4;4;4;3;4;3;4;3;4;3
"10/16/2018 22:25:52";"10/16/2018 22:30:14";"10/16/2018 22:30:15";4;4;4;4;3;4;3;4;3;4;4;3,7;3,6;4;4;4;3;3;4;4;3;4;3;4
"10/16/2018 22:26:31";"10/16/2018 22:30:18";"10/16/2018 22:30:19";3;5;3;4;3;4;3;3;4;3;4;3,5;3,1;4;4;4;4;4;3;2;2;2;2;5
"10/16/2018 22:25:31";"10/16/2018 22:30:19";"10/16/2018 22:30:20";4;4;3;3;3;4;3;4;3;3;3;3,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6
"10/16/2018 22:25:59";"10/16/2018 22:30:22";"10/16/2018 22:30:22";4;4;4;4;4;3;2;2;2;2;3;3,1;3,5;3;5;3;4;3;4;3;3;4;3;7
"10/16/2018 22:26:06";"10/16/2018 22:30:40";"10/16/2018 22:30:40";4;5;4;4;4;4;4;4;5;5;3;4,3;2,8;3;3;2;3;3;3;3;3;3;2;8
"10/16/2018 22:25:43";"10/16/2018 22:30:40";"10/16/2018 22:30:41";3;3;2;3;3;3;3;3;3;2;4;2,8;4,3;4;5;4;4;4;4;4;4;5;5;9
"10/16/2018 22:25:17";"10/16/2018 22:30:45";"10/16/2018 22:30:46";4;4;4;3;3;4;2;4;2;4;2;3,4;3,4;4;4;4;3;3;3;3;4;3;3;10
"10/16/2018 22:25:33";"10/16/2018 22:30:47";"10/16/2018 22:30:47";4;4;4;3;3;3;3;4;3;3;2;3,4;3,4;4;4;4;3;3;4;2;4;2;4;11
"10/16/2018 22:26:33";"10/16/2018 22:30:48";"10/16/2018 22:30:49";5;5;5;4;3;2;4;5;3;5;4;4,1;2,6;3;2;3;2;2;2;2;3;3;4;12
"10/16/2018 22:26:11";"10/16/2018 22:30:51";"10/16/2018 22:30:51";4;4;4;4;4;4;4;4;4;4;3;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13
"10/16/2018 22:25:34";"10/16/2018 22:30:55";"10/16/2018 22:30:55";4;3;2;3;4;3;5;2;4;2;3;3,2;2,5;2;4;2;2;2;2;4;4;1;2;14
"10/16/2018 22:25:40";"10/16/2018 22:30:57";"10/16/2018 22:30:58";4;4;4;3;3;3;4;4;4;4;3;3,7;3,9;4;4;5;4;4;4;3;4;3;4;15
"10/16/2018 22:26:58";"10/16/2018 22:30:57";"10/16/2018 22:30:58";4;4;3;4;3;2;3;4;4;4;3;3,5;4;4;4;3;4;3;4;5;4;4;5;16
"10/16/2018 22:25:42";"10/16/2018 22:31:01";"10/16/2018 22:31:02";4;4;5;4;4;4;3;4;3;4;3;3,9;3,7;4;4;4;3;3;3;4;4;4;4;17
"10/16/2018 22:25:44";"10/16/2018 22:31:04";"10/16/2018 22:31:05";3;4;4;5;5;4;4;3;3;3;1;3,8;3,4;3;4;2;4;4;3;4;4;3;3;18
"10/16/2018 22:25:25";"10/16/2018 22:31:06";"10/16/2018 22:31:07";3;4;2;4;4;3;4;4;3;3;2;3,4;3,8;3;4;4;5;5;4;4;3;3;3;19
"10/16/2018 22:25:56";"10/16/2018 22:31:08";"10/16/2018 22:31:09";4;4;3;4;3;4;5;4;4;5;3;4;3,5;4;4;3;4;3;2;3;4;4;4;20
"10/16/2018 22:25:37";"10/16/2018 22:31:09";"10/16/2018 22:31:10";4;4;2;3;4;4;2;5;4;4;4;3,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21
"10/16/2018 22:26:02";"10/16/2018 22:31:10";"10/16/2018 22:31:11";3;4;3;3;4;3;2;3;3;3;3;3,1;3,2;3;3;3;2;3;3;4;4;4;3;22
"10/16/2018 22:26:06";"10/16/2018 22:31:12";"10/16/2018 22:31:12";1;2;1;1;1;2;1;3;1;1;2;1,4;2,3;3;4;2;3;2;1;1;3;2;2;23
"10/16/2018 22:26:12";"10/16/2018 22:31:12";"10/16/2018 22:31:12";2;4;4;4;4;4;2;4;3;4;4;3,5;3,1;4;4;4;3;3;2;2;2;3;4;24
"10/16/2018 22:26:04";"10/16/2018 22:31:14";"10/16/2018 22:31:15";3;2;3;2;2;2;2;3;3;4;2;2,6;4,1;5;5;5;4;3;2;4;5;3;5;25
"10/16/2018 22:26:57";"10/16/2018 22:31:16";"10/16/2018 22:31:16";4;4;4;3;3;2;2;2;3;4;2;3,1;3,5;2;4;4;4;4;4;2;4;3;4;26
"10/16/2018 22:25:30";"10/16/2018 22:31:17";"10/16/2018 22:31:17";3;4;2;3;2;1;1;3;2;2;4;2,3;1,4;1;2;1;1;1;2;1;3;1;1;27
"10/16/2018 22:26:29";"10/16/2018 22:31:29";"10/16/2018 22:31:29";4;5;4;5;5;4;5;4;3;4;5;4,3;2,2;2;3;2;2;3;1;4;2;1;2;28
"10/16/2018 22:26:08";"10/16/2018 22:31:29";"10/16/2018 22:31:30";4;4;4;3;3;3;2;3;2;4;2;3,2;3,7;4;4;4;3;4;3;4;2;4;5;29
"10/16/2018 22:26:03";"10/16/2018 22:31:30";"10/16/2018 22:31:31";2;3;2;2;3;1;4;2;1;2;1;2,2;4,3;4;5;4;5;5;4;5;4;3;4;30
"10/16/2018 22:27:37";"10/16/2018 22:31:36";"10/16/2018 22:31:37";3;3;1;1;4;4;1;3;3;4;3;2,7;3,7;3;4;5;2;3;4;3;4;4;5;31
"10/16/2018 22:27:44";"10/16/2018 22:31:37";"10/16/2018 22:31:38";4;4;3;3;4;4;3;3;3;3;3;3,4;2,8;3;4;2;3;3;3;2;3;3;2;32
"10/16/2018 22:25:50";"10/16/2018 22:31:37";"10/16/2018 22:31:38";3;4;5;2;3;4;3;4;4;5;3;3,7;2,7;3;3;1;1;4;4;1;3;3;4;33
"10/16/2018 22:27:11";"10/16/2018 22:31:40";"10/16/2018 22:31:41";4;4;3;3;4;2;3;3;3;3;3;3,2;3,1;4;4;3;3;2;3;2;3;3;4;34
"10/16/2018 22:25:50";"10/16/2018 22:31:41";"10/16/2018 22:31:41";4;4;3;3;2;3;2;3;3;4;3;3,1;3,2;4;4;3;3;4;2;3;3;3;3;35
"10/16/2018 22:25:50";"10/16/2018 22:31:41";"10/16/2018 22:31:41";4;4;2;2;2;4;2;4;3;1;2;2,8;3,1;4;3;3;4;3;2;3;3;3;3;36
"10/16/2018 22:25:26";"10/16/2018 22:31:41";"10/16/2018 22:31:43";4;4;3;4;4;4;4;3;4;4;4;3,8;3,7;3;4;3;5;5;3;3;3;4;4;37
"10/16/2018 22:25:21";"10/16/2018 22:31:42";"10/16/2018 22:31:43";3;4;3;5;5;3;3;3;4;4;4;3,7;3,8;4;4;3;4;4;4;4;3;4;4;38
"10/16/2018 22:25:51";"10/16/2018 22:31:45";"10/16/2018 22:31:45";4;3;3;4;3;2;3;3;3;3;2;3,1;2,8;4;4;2;2;2;4;2;4;3;1;39
"10/16/2018 22:26:28";"10/16/2018 22:31:57";"10/16/2018 22:31:57";4;4;4;3;4;3;4;2;4;5;2;3,7;3,4;4;4;4;4;4;4;3;3;2;2;40
"10/16/2018 22:25:35";"10/16/2018 22:32:05";"10/16/2018 22:32:05";3;4;2;3;3;3;2;3;3;2;4;2,8;3,4;4;4;3;3;4;4;3;3;3;3;41
"10/16/2018 22:25:30";"10/16/2018 22:32:10";"10/16/2018 22:32:10";3;3;3;2;3;3;4;4;4;3;4;3,2;3,1;3;4;3;3;4;3;2;3;3;3;42
"10/16/2018 22:26:35";"10/16/2018 22:32:10";"10/16/2018 22:32:11";4;4;4;4;4;4;3;3;2;2;4;3,4;3,2;4;4;4;3;3;3;2;3;2;4;43
