StudentID,Attentive,Interested,Alert,Excited,Enthusiastic,Inspired,Proud,Determined,Strong,Active,Distressed,Upset,Hostile,Irritable,Scared,Afraid,Ashamed,Guilty,Nervous,Jittery
4122241,3,4,3,3,3,3,3,2,3,3,4,1,1,1,1,3,4,3,4,3
4561888,5,4,1,3,4,3,3,4,3,4,1,1,1,4,1,1,1,1,1,1
4359280,3,4,3,3,4,3,3,4,3,4,3,1,1,1,2,2,2,1,5,4
4553329,2,2,2,1,2,2,1,2,1,1,1,2,1,1,1,2,1,1,3,1
4534324,3,3,3,3,4,2,3,3,2,3,3,4,2,3,3,4,4,1,4,3
4386448,3,3,2,2,3,3,3,2,3,3,2,1,1,2,2,2,1,1,2,2
4063549,4,3,2,3,4,3,4,4,3,4,2,2,1,2,2,3,1,1,4,3
4249444,3,3,3,2,3,3,3,3,2,3,4,1,1,1,1,2,1,1,4,4
4008406,5,4,3,5,4,4,4,4,4,5,2,1,1,3,2,2,2,2,3,2
4493416,3,4,1,3,4,3,3,5,3,4,2,2,1,2,3,4,4,1,5,2
4343473,4,4,2,3,4,3,5,4,2,3,2,2,1,2,1,2,2,2,3,1
3903460,4,3,3,4,5,2,1,4,2,4,1,2,1,1,1,1,2,1,2,4
4534405,4,5,4,5,4,4,4,2,4,3,1,1,4,4,1,1,1,3,2,2
4308049,5,4,3,3,4,3,4,3,2,3,3,1,4,3,2,1,1,1,3,3
4538170,4,4,5,4,5,4,4,4,4,4,1,1,1,2,1,1,1,1,3,2
4310548,5,3,3,5,5,4,5,4,3,4,4,2,3,1,1,1,1,3,3,3
4275730,4,5,4,3,3,2,5,4,1,4,5,4,3,4,5,5,5,5,4,3
4222156,4,5,1,4,4,5,4,4,3,2,3,2,3,2,1,2,2,1,3,4
4225096,4,4,3,3,4,3,5,4,2,2,1,3,1,1,1,3,1,1,4,1
4486630,3,5,3,5,5,1,4,3,3,2,3,1,3,2,4,2,1,1,2,4
4532662,2,4,2,2,2,3,3,2,2,2,2,1,1,1,1,1,1,1,3,3
4532485,4,5,4,5,4,4,4,5,5,4,1,1,1,2,3,4,3,1,3,1
4433056,4,3,3,3,3,2,2,3,2,3,4,4,1,2,3,4,1,1,4,4
4064017,4,4,2,3,3,2,3,3,2,2,2,1,1,3,1,1,2,2,1,3
4092223,4,4,3,4,4,4,4,5,4,4,2,2,4,3,3,3,2,2,3,4
4501108,3,3,3,2,4,2,1,3,3,3,1,1,1,1,2,1,1,1,2,3
3706477,3,3,1,2,3,3,3,3,3,4,2,2,1,1,1,1,2,1,3,1
4192729,1,4,4,4,3,5,3,4,3,5,2,3,2,4,2,1,1,1,1,4
4550722,4,4,4,4,4,4,4,3,4,4,2,2,1,1,1,1,1,1,2,2
4407406,5,5,5,4,3,5,4,5,5,5,5,1,1,2,4,1,1,1,2,2
4374505,5,5,3,4,4,4,3,4,4,4,3,2,1,2,1,2,2,2,2,1
4525648,3,4,3,4,4,2,4,3,4,4,2,2,2,2,2,2,2,3,4,3
3759325,3,4,3,4,5,3,4,5,3,4,3,1,1,1,1,2,1,2,2,2
4444021,3,4,4,3,3,3,1,4,1,3,5,5,1,2,5,5,5,3,5,5
3959098,4,3,3,4,5,4,4,3,2,4,3,3,1,2,1,1,1,1,3,4
2964652,4,4,3,3,3,4,2,2,2,3,4,3,1,2,1,1,2,2,3,1
3921430,2,4,1,5,4,5,2,3,2,2,2,3,2,2,2,1,2,1,1,1
3851788,2,4,2,2,2,3,2,4,3,2,3,3,1,3,1,1,1,1,3,2
3851941,4,2,4,2,4,1,1,4,1,4,1,2,1,1,1,1,1,1,1,1
3690172,4,5,4,5,5,5,5,5,4,5,1,2,1,1,1,1,2,1,3,1
4270732,2,3,2,3,2,2,3,4,4,4,1,1,1,2,1,1,1,1,2,1
3720583,4,4,4,2,2,3,4,4,3,2,1,2,2,2,2,1,1,1,2,2
4491661,1,2,1,1,1,2,3,3,1,1,2,3,2,4,3,1,3,1,4,2
3760408,2,4,2,3,4,3,3,2,4,2,3,3,1,2,2,4,3,4,4,3
3804979,3,5,4,4,4,4,3,4,3,2,3,4,1,1,2,2,3,1,2,1
4054972,3,4,3,4,4,3,3,4,3,4,4,3,1,2,2,2,1,2,4,2
4269163,3,4,3,3,4,4,4,3,2,4,2,2,1,2,4,4,3,1,5,2
4538833,4,3,3,1,3,1,2,2,1,3,3,1,1,1,4,3,2,3,3,2
4106458,4,1,3,1,1,4,1,1,5,1,1,2,1,3,2,1,1,5,2,1
4448578,3,4,2,3,3,4,3,2,2,3,3,2,2,2,3,3,4,2,4,4
3005812,3,3,2,2,3,3,1,3,3,4,3,1,1,1,1,1,1,1,1,2
4504120,4,4,3,4,4,4,3,4,3,4,1,1,2,3,2,2,1,1,2,2
4029394,3,4,3,5,4,4,4,4,3,4,2,1,2,3,1,2,1,4,2,1
4192972,3,3,3,2,2,2,2,2,3,4,5,5,2,4,4,4,3,5,5,4
2997697,3,3,3,1,2,1,1,4,1,2,2,2,1,3,1,1,2,1,1,1
4198075,2,3,2,4,4,3,5,3,1,2,2,5,2,5,4,2,4,3,3,4
3077662,3,2,2,2,2,2,2,2,3,2,2,3,3,3,2,1,2,2,2,2
NA,2,2,2,3,3,2,3,3,2,4,4,3,4,2,2,1,2,2,2,4
3027478,4,5,5,5,5,5,5,5,5,5,2,1,4,2,1,1,2,1,2,3
2990992,3,4,3,2,2,4,3,4,4,3,2,2,1,2,2,2,1,1,2,2
4499335,3,4,4,4,4,4,4,4,3,3,2,1,1,3,2,2,2,1,4,1
4389808,3,4,2,4,3,4,3,4,4,4,1,3,1,1,2,2,4,1,2,2
3709204,4,4,3,4,4,4,5,5,4,4,3,3,1,3,3,4,1,2,3,1
4312558,5,4,5,3,4,4,4,2,4,3,2,2,1,4,4,4,4,2,4,2
4256821,2,4,4,3,5,3,3,5,4,4,4,2,1,4,4,3,1,1,4,4
4388203,3,3,3,3,2,3,2,3,3,3,1,2,1,2,1,1,1,2,4,2
4501003,2,2,3,3,3,2,2,2,2,3,2,2,1,1,3,3,1,1,2,3
4434823,2,4,2,2,3,1,2,4,2,2,1,1,1,1,2,2,1,1,3,2
4553305,4,4,1,2,4,3,5,5,3,4,2,2,1,2,2,2,1,1,4,2
3752608,3,4,2,4,4,3,3,4,3,3,1,1,1,1,3,3,2,1,4,2
