StudentID,Attentive,Interested,Alert,Excited,Enthusiastic,Inspired,Proud,Determined,Strong,Active,Distressed,Upset,Hostile,Irritable,Scared,Afraid,Ashamed,Guilty,Nervous,Jittery,globalPA,globalNA
4534405,3,4,4,5,4,4,4,4,4,4,2,1,4,3,3,2,2,3,2,2,4,2
4433056,2,4,2,4,4,3,3,3,3,4,1,1,1,1,1,1,1,1,1,2,3,3
3723322,4,3,4,2,3,2,4,4,4,4,4,2,4,3,2,1,2,2,3,2,2,4
3851788,2,3,3,2,2,3,2,4,2,4,3,2,1,2,1,2,1,3,3,2,4,3
3742918,1,4,2,3,3,3,3,2,2,2,3,2,1,1,1,2,4,2,3,4,3,4
4250326,2,3,2,2,2,3,2,3,4,3,1,3,2,4,3,2,4,2,3,2,2,4
4441024,4,5,5,5,5,5,5,5,5,5,4,1,1,2,2,2,1,2,3,2,4,2
4458412,2,2,2,1,1,2,1,1,1,2,3,2,1,3,1,1,2,2,3,1,1,4
4250521,2,3,2,2,3,2,4,4,3,1,2,4,3,5,2,4,1,1,1,3,2,4
3759325,3,4,3,4,4,4,5,4,3,3,2,2,1,2,2,1,1,3,2,1,3,3
4029394,4,5,4,4,4,5,5,5,3,5,2,1,1,3,2,3,1,1,4,1,4,3
4491661,1,1,1,2,3,1,4,1,2,1,2,4,2,4,1,1,1,1,3,1,4,2
3709204,3,4,4,5,5,4,2,4,4,5,2,2,1,1,3,2,1,2,4,2,2,1
4493416,5,5,3,3,5,3,4,4,5,2,1,1,1,1,4,2,3,1,4,1,4,4
4394680,4,2,4,3,2,2,3,3,2,4,1,2,1,2,1,1,3,1,3,1,2,3
4302994,2,4,1,2,2,2,4,4,3,1,3,4,4,4,1,1,1,1,2,3,1,4
3017527,3,5,3,4,4,2,3,4,3,5,1,1,1,2,1,1,1,1,2,1,4,3
4017751,4,3,4,2,2,3,2,3,3,2,4,1,1,3,4,3,3,3,4,4,4,2
4092223,4,4,4,4,4,4,4,5,4,3,3,2,4,3,4,4,2,2,4,3,4,2
4100068,4,4,4,2,2,3,2,3,3,4,1,1,1,2,2,1,2,2,1,1,2,4
4308049,4,2,3,2,4,1,5,1,4,5,4,3,4,3,1,1,3,2,2,2,4,2
4074175,3,3,2,4,2,4,4,4,4,1,4,4,4,3,4,3,3,4,4,3,4,2
4063549,3,2,4,3,3,2,3,4,4,5,2,3,3,4,2,1,1,1,2,3,3,4
4315570,4,4,4,4,4,5,5,5,4,4,1,1,1,1,1,1,1,1,1,1,4,1
4561888,4,4,3,5,5,4,5,4,5,4,1,1,2,3,1,1,1,1,2,3,3,3
4522204,4,4,2,3,4,3,2,2,3,4,2,1,1,1,1,1,2,1,1,3,4,2
4192972,3,3,2,3,2,3,2,3,2,2,4,4,1,2,4,4,2,3,5,5,2,2
3783826,3,4,3,5,4,4,4,3,3,2,4,4,4,5,4,4,1,4,4,5,4,4
4088755,3,2,3,2,2,2,2,2,3,3,3,1,3,5,1,1,1,1,2,2,2,4
4192729,2,3,3,4,4,4,2,4,4,3,1,1,2,2,1,1,4,3,1,2,4,2
